Date,min,max,mean,Ticker
2024 Jan,179.48495483398438,193.35397338867188,185.96801249186197,AAPL
2024 Feb,179.2874755859375,187.63796997070312,183.20913391113282,AAPL
2024 Mar,167.63255310058594,178.20626831054688,171.29912567138672,AAPL
2024 Apr,163.66490173339844,175.1214599609375,168.2321916060014,AAPL
2024 May,167.93011474609375,191.05239868164062,184.9523232199929,AAPL
2024 Jun,191.8171844482422,215.20831298828125,204.87168643349096,AAPL
2024 Jul,215.28778076171875,233.23587036132812,223.08347112482244,AAPL
2024 Aug,205.8319854736328,228.50399780273438,220.3197215687145,AAPL
2024 Sep,215.109375,231.69602966308594,222.50575408935546,AAPL
2024 Oct,220.4493408203125,235.15655517578125,228.7685958198879,AAPL
2024 Nov,220.7675323486328,236.26144409179688,226.72361602783204,AAPL
2024 Dec,238.5112762451172,257.853759765625,248.20030575706846,AAPL
2024 Jan,362.3474426269531,403.7008972167969,383.7286667596726,MSFT
2024 Feb,397.0044250488281,414.37176513671875,403.3939971923828,MSFT
2024 Mar,396.9156494140625,423.84454345703125,411.4259567260742,MSFT
2024 Apr,384.3197937011719,422.4230651855469,407.94545953924006,MSFT
2024 May,389.85760498046875,425.74627685546875,412.5769403631037,MSFT
2024 Jun,408.9347839355469,447.8287353515625,433.4816782098067,MSFT
2024 Jul,413.7112731933594,462.37554931640625,440.40106894753194,MSFT
2024 Aug,390.76849365234375,420.84686279296875,408.36261957341975,MSFT
2024 Sep,397.9618225097656,434.607666015625,420.28517456054686,MSFT
2024 Oct,402.5686340332031,428.5049743652344,415.8486328125,MSFT
2024 Nov,404.658935546875,424.8559265136719,415.2871429443359,MSFT
2024 Dec,418.4134521484375,451.132080078125,436.1908801850818,MSFT
2024 Jan,182.6300048828125,248.4199981689453,216.13047645205543,TSLA
2024 Feb,181.05999755859375,202.0399932861328,192.79300079345703,TSLA
2024 Mar,162.5,202.63999938964844,176.16300048828126,TSLA
2024 Apr,142.0500030517578,194.0500030517578,165.8722721446644,TSLA
2024 May,168.47000122070312,186.60000610351562,177.23181915283203,TSLA
2024 Jun,170.66000366210938,197.8800048828125,182.2199996145148,TSLA
2024 Jul,209.86000061035156,263.260009765625,240.62136355313388,TSLA
2024 Aug,191.75999450683594,223.27000427246094,209.010910727761,TSLA
2024 Sep,210.60000610351562,261.6300048828125,235.15999908447264,TSLA
2024 Oct,213.64999389648438,269.19000244140625,238.78043597677478,TSLA
2024 Nov,242.83999633789062,352.55999755859375,318.2194999694824,TSLA
2024 Dec,351.4200134277344,479.8599853515625,415.961428687686,TSLA
2024 Jan,144.57000732421875,161.25999450683594,153.615237281436,AMZN
2024 Feb,159.27999877929688,176.75999450683594,171.00349807739258,AMZN
2024 Mar,171.9600067138672,180.3800048828125,176.8224998474121,AMZN
2024 Apr,173.6699981689453,189.0500030517578,181.17318240079013,AMZN
2024 May,176.44000244140625,189.5,184.17636455189097,AMZN
2024 Jun,178.33999633789062,197.85000610351562,186.08421084755346,AMZN
2024 Jul,179.85000610351562,200.0,190.33318190141156,AMZN
2024 Aug,161.02000427246094,184.07000732421875,172.39227294921875,AMZN
2024 Sep,171.38999938964844,193.9600067138672,184.8660011291504,AMZN
2024 Oct,180.8000030517578,192.72999572753906,186.83478313943615,AMZN
2024 Nov,195.77999877929688,214.10000610351562,204.50499954223633,AMZN
2024 Dec,210.7100067138672,232.92999267578125,224.1009521484375,AMZN
